Term,Rate,PriceDate
0.002739726,0.06163591,20241210
0.005479452,0.0615233,20241210
0.024657534,0.06004692,20241210
0.093150685,0.05961912,20241210
0.175342466,0.05935352,20241210
0.252054795,0.05798215,20241210
0.504109589,0.05686334,20241210
1.005479452,0.05601891,20241210
1.515068493,0.05482147,20241210
2.016438356,0.0540238,20241210
3.01369863,0.05305355,20241210
4.01369863,0.05505355,20241210
5.01369863,0.05705355,20241210
6.019178082,0.05905355,20241210
7.019178082,0.06105355,20241210
8.019178082,0.06305355,20241210
9.016438356,0.06505355,20241210
10.01643836,0.06705355,20241210
